Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",6747,Closed,Connect Plus,Connect Plus Test Player,5,Cambridge English ,22/02/2019 11:15:03,28/11/2019 14:47:00,Connect Plus: No request for content  ,"<font color=""#222222""><span style=""font-size: 13px;"">Candidate's computer freezes, then, in the</span></font><font color=""#222222""><span style=""font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""> logs of the CW where the freezing was reported, we could 
see that the test player had not requested for the .xhtml resource files
 which form the content that is displayed to the candidate. </span></font></span></font>",,Test Player changes required but due to IELTS blocking changes going forward we are closing this but will be leaving on the Jira Backlog,Unidentified cause,"Test Player changes required but due to IELTS blocking changes going forward we are closing this but will be leaving on the Jira Backlog

https://btsservice.atlassian.net/browse/EVO-1253 ",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6748,Identified,EPS,EPS - Marks,3,CSD ,22/02/2019 14:59:22,,Long running queries in MPRD,There are long running queries needed to be tuned in MPRD. APO suggests this will require a PR for them to work on.<br>,None,Rakesh has investigated and suggests changing the query as indicated in the attachment.,Software Issue,,
"Created Problem Records for Selected Services, Total 1865",6749,Awaiting Review,Customer Administration,MOVEit,5,CIE ,22/02/2019 15:33:55,,MOVEit Transfer 9.6 upload issue,"When that upload button is clicked in MOVEit Transfer, the web browser freezes, this is an intermittent issue, seems to affect random users &amp; can resolve itself., previously loGged under pr5685",Use the drag & drop functionality to upload files,,,,
"Created Problem Records for Selected Services, Total 1865",6752,Closed,IELTS Services,IELTS Results Service,2,Cambridge English ,26/02/2019 01:30:36,25/03/2019 16:56:00,"IELTS Results Service - Unable to add RO_MAINTAINANCE, ROLE_APPLICATION_SUPPORT","<font face=""none"">Users who have been given RO_MAINTAINANCE, APPLICATION_SUPPORT role are not able to access the application as <strong>T&amp;C not accepted by RO</strong> popup is coming which cannot be bypassed . This popup should not come as RO_MAINTAINANCE, APPLICATION_SUPPORT users are not linked to any RO .</font>",Work in Progress,"Investigating the issue it was found that the business was not creating the SuperUser from the Auth0 back end in the correct process. 

The RO_Maintenance and application support roles trigger a super user permission from Auth0. The information around the users not being linked to an RO was background information as the acceptance of T&Cs is stored against the RO.

It was found that the user while creating a SuperUser profile from the Auth0 dashboard was interchanging the user_metadata and app_metadata i.e app_metadata configuration was placed into user_metadata configuration and vice-versa. ",Skills/knowledge issue,"Users are following incorrect steps. Configuring the users has been corrected (please see below). 

Configuring the user_metadata and app_metadata correctly would solve this problem and it will not require any extra code change in the IRS application codebase as the user_metadata and app_metadata can be easily changed from Auth0 dashboard itself.",Process Change
"Created Problem Records for Selected Services, Total 1865",6754,Closed,ESM,ESM - Other,3,CIE ,26/02/2019 10:12:55,23/10/2019 10:26:00,ESM Portal Duplicate Assignments Issue,"<font face=""none"">It has been observed that for CIE's March 2019 session duplicate Availabilities/Eligibilities/Assignments got created for all the components in ESM database. It happened when ""PopulateESMAssignments"" ran on 20/02/2019 at 13:06.</font><div><font face=""none""><br></font></div><div><font face=""none"">Extract from EPS shows that the data setup is correct in EPS.</font></div>",Workaround is to delete the duplicate records by running a script in ESM back-end and then resetting the Marker Availability Status so that correct IGMD feeds are sent to RM.,"
RCA document states - As this is an intermittent issue and happens only once for a particular Report ID, so it will be better to keep an eye for further monitoring as the issue is not replicable in support environment.


",Software Issue,Information given to Dev group who were satisfied that as this was a one off issue we would monitor and create a new PR/Investigation should it re-occur ,None
"Created Problem Records for Selected Services, Total 1865",6755,Investigation,Document Repository,Sharepoint 2010,5,CSD ,26/02/2019 11:18:58,,The front page of SSDs are not rendering on OneSource,"<div>I publish and edit a lot of SSD's onto OneSource and the front page never renders for me - it shows blank on all browsers - chrome, ie and edge. See attached</div><div><br></div><div>A colleague can load the document and another also has the same issue so I am not sure if this is SharePoint related or local desktop - though I only recently had my laptop re-built so would suggest starting with SharePoint team to see if this is a known issue... </div><div><br></div><div>Thank you </div>",,,,,
"Created Problem Records for Selected Services, Total 1865",6757,Closed,OCR Exam Processing,CAMS,5,OCR,26/02/2019 11:39:09,11/11/2019 14:15:00,Unable to import Test Entries in CAMS UAT,"<p><font color=""#000000"">There was recently a change made to the area where all the UAT machines are located in Coventry and all the PCs were unplugged and moved.&nbsp;&nbsp;I have been trying to import some Unit Test Entries for Cambridge Technicals into CAMS GTI UAT and am now getting the following errors:<br>PC = My Computer WPHOCRD01M6X1<br>Error Messages: [cid:503462415@15052018-3155]&nbsp;&nbsp; [cid:503462415@15052018-314E]<br></font></p><p><font color=""#000000""><br></font></p><p><font color=""#000000"">The net result of this move is that 3 out of 4 previously working PCs doe not work limiting the scope of UAT operations. The non-working PCs need to be addressed to restoe the previous status.</font></p><p><br><font color=""#000000"">Can you please assign to BTS in Coventry to assist with this please.<br><br>Thanks<br>Niki</font></p>","After the equipment move, 3 out of the 4 PCs used for UAT did not work. The result (and workaround) is to use the 1 working PC however this creates strain and delays to UAT.","It is believed that hardware moves is the root cause, there is at present one PC still working. EUS have not been able to resolve this issue.",Unidentified cause,Desktop support resolved this issue by giving Niki a laptop to replace the PC.,Other
"Created Problem Records for Selected Services, Total 1865",6758,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,26/02/2019 16:34:06,23/04/2019 13:27:00,Launching Test from Entry Code throws Error,"<font color=""#222222""><span style=""font-size: 13px;"">Metrica</span></font><div><font color=""#222222""><span style=""font-size: 13px;"">Linguaskill</span></font></div><div><span style=""color: rgb(34, 34, 34); font-size: 13px;""><br></span></div><div><span style=""color: rgb(34, 34, 34); font-size: 13px;"">Entry Code: 4MYHN-2M7BS</span></div><div><span style=""color: rgb(34, 34, 34); font-size: 13px;""><br></span></div><div><span style=""color: rgb(34, 34, 34); font-size: 13px;"">The above entry code will allow access to Metrica however when you attempt to start the actual test the attached error code is displayed instead of test content. the error is showing due to the DOB not being present in the assignment table. Hence when launching the test give Null reference exception.</span></div>",Updating the DOB in Assignment table.,Root cause analysis provided to Metrica team for further action under MET-8687,Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-8687",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6759,Closed,File/Print Services,File Server,5,Cambridge English CIE CSD OCR,27/02/2019 09:26:55,12/04/2019 12:08:00,Poor performance on spinffs001,Files storage was very slow to respond to customer access.,,"Backend storage being moved was the cause of this.
Done by Servicer team under a RFC 33385",Infrastructure/Networks/OS Issue,"None
Once storage finished being moved performance came back to normal.",None
"Created Problem Records for Selected Services, Total 1865",6764,Closed,CE Exam Processing,Metrica - CE,5,Cambridge English ,27/02/2019 13:17:35,27/03/2019 14:15:00,Updating the workflow stage for the task an error is received,"When trying to update the workflow stage for the task below an error is being received.<br><br>Project: EliT Speaking<br>Task ID: ENGSA927<br>Error: Item ENGSA927 - Could not find a part of the path pmetfile001.file.core.windows.netprodfilescontainerShareFilesitem-content_Adminprinte9e9b42cc3-a378-4a6e-9153-a2cace02ab701.<br>Workflow: MLT<br><br>The task is to be moved to the reauthor stage from Triage. Screenshots below on the steps to do this.<br><br>In Options select 'Update Workflow Tasks'<br><br>Then select 'Completed' next to 'Reauthor needed'<br><br>The task was moved from the Linguaskill project into EliT Speaking project. It had a verification error when published to ELiT S, so the AA tried to create a new version of it by updating the workflow status.<br><br><br><http: www.cambridgeenglish.org=""""></http:>",Users need to have to go to the print folder of asset area for items that have been moved between projects before they can update the workflow tasks. Please follow the attached workaround video.,Code changes identified and provided to Metrica team further action under MET-8599,Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-8599",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6765,Closed,Print and Distribution Services,SCALE,2,Cambridge English CIE CSD OCR,27/02/2019 16:38:12,28/06/2019 08:52:00,Out of memory exception caused SCALE PRD server to crash,"<font face=""none"">spsclap002 crashed on incident 654108. As a result of that we had an impact on a specific wave running at the time of the outage...P2 incident 654213 raised</font>",Server was restarted via the VM console and wave had to be reprocessed under direction from supplier.,"After a careful analysis of the logs and the timing of the incident and consultation with supplier it has become apparent that the secondary server at that time under heavy load, received a request for authentication from a specific user. The authentication mechanism with AD failed and the failure created additional load to the server already under stress. this made the service under the secondary server unavailable for few mins.  Not possible to replicate the exact events and the likelihood that this situation will happen again is extremely low.",Process Failure,The team has checked the authentication mechanism in AD and there is nothing unusual. possibly some improvements but they are not related to this specific problem. No similar incidents happened since the PR was raised. PR can be closed.,None
"Created Problem Records for Selected Services, Total 1865",6766,Identified,EPS,EPS - Entries,5,CIE ,28/02/2019 11:13:30,,Missing A Level syllabus code on Statement of Entry when preceeded by IGCSE and ICE,"<p>The issue was observed where a candidate had been awarded IGCSE syllabus, resulting in a special ICE award (ICE has no syllabus code by intent). This candidate then is awarded A &amp; AS Levels, where the first award is missing its syllabus code.</p><p><br></p><p>Initially reported under IN#652564 where 27/02Activity History contains analysis and examples.</p>","An exception from Print Systems would be to update the data file received to restore the missing syllabus code. This would be with agreement and for low candidate volumes due to manual nature of workaround.

A long term fix would be at EPS code level.","Missing component data structure <SOECOM>
It is noted that the data structure for an ICE award does not include the component element denoted by <SOECOM> in the data. As a result of no component data, a Transform logic process does not trigger resulting in the next subject showing no syllabus code. The Transform version 4 template is MCORD001.
",Data Issue,"Manual Resolution
A workaround was provided to the business to resolve the immediate issue of syllabus codes not being displayed. This involved data file editing to manually insert <SOECOM> (syllabus component data), and to make each data element empty.
The addition of the <SOECOM> data structure was able to trigger the Transform and leaving the data elements empty resulted in no unnecessary or spurious printed text.
",
"Created Problem Records for Selected Services, Total 1865",6767,Closed,Cambridge English Online,CEO Preparation Centre Portal - non SAP,5,Cambridge English ,28/02/2019 11:14:13,09/05/2019 09:00:00,Preparation centre Name containing greek characters are updating to question marks in CEO,"<font face=""Calibri, sans-serif""><span style=""font-size: 14.6667px;"">Preparation Centres with greek letters are updating to Question mark in CEO. It seems that the Greek letters are not supported in CEO. AS per the XML provided from Biztalk correct prep centre name are being sent but then gets saved into Question Mark from CEO raised under Incident&nbsp;640594.</span></font>",,"Stored procedure has datatype Varchar, and should be Varchar2 to handle the Greek characters. This is a change to extend diacritic set from EPS diacritics set to enable SAP diacritics to be handled.",Software Issue,Software fix to be prioritized into the team. Backlog item CEP-203 refers.,Backlog Item
"Created Problem Records for Selected Services, Total 1865",6768,Awaiting Review,IS Services,AD - User Accounts,4,Cambridge English ,28/02/2019 11:47:58,,Individual user account required to run reports on Robo ID Service,"<div><span style=""font-family: none;"">1. This is a security issue as an individual's account (sheend) is required to enable the running of an automation service (the Robo ID service).&nbsp; The Security Team is aware of this.</span></div><div><span style=""font-family: none;"">2. My understanding is that the Robo ID was initially set up approximately 3 years ago as a temporary solution (possibly pilot/POC)</span></div><div><span style=""font-family: none;"">3. This service is not in the Service Catalogue and, as far as I am aware, there is no Service Support documentation on this Service.</span></div><div><span style=""font-family: none;"">4. Since 2017 the customer CE has renewed the contract with the 3rd party company (TCS) without the prior knowledge of BTS.</span></div><div><span style=""font-family: none;"">5. As a solution an attempt was made to set up a generic account for this purpose in December 2017, to remove the requirement of the sheend account.&nbsp; A condition of the approval for this account was that the use of it would be audited.&nbsp; We are unable to carry out AD auditing on one account so the generic account was not used, neither was the set up within TCS carried out due to this.&nbsp; The third party has not been able to provide us with suggestions for an alternative solution.</span></div><div><span style=""font-family: none;""><br></span></div><div><span style=""font-family: none;"">Three possible options for resolution:</span></div><div><span style=""font-family: none;""><br></span></div><div><span style=""font-family: none;"">1. Security sign-off for the sheend account to be used and monitored until this service is no longer required.</span></div><div><span style=""font-family: none;"">2. A new generic account is set up and configured by the third party TCS, the use of which is monitored.</span></div><div><span style=""font-family: none;"">3. As this was a temporary solution which has been extended, this requirement be taken through PMO so it can be set up as a production Service and is, therefore, included into the Service Catalog with the relevant documentation and support agreements.</span></div>",Account can be re-enabled and again disabled by the Service Desk when needed,"The Robo ID was initially set up for the user Dakh Sheenam (username 'sheend')

This is a disabled account as Dakh left the company some time ago

This is the only account which is able to run the carry out the task of running the required reports",Security Issue,,
"Created Problem Records for Selected Services, Total 1865",6770,Closed,Tridion,OCR Public Site,5,OCR,28/02/2019 12:45:52,31/07/2019 13:03:00,OCR - ODGs routing issue from OCR website,"<div class=""MsoNormal"">Routing error from the OCR website to
the ODGs.<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">If the URL contains ‘www’ it will resolve as expected.<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal""><a href=""https://www.ocr.org.uk/qualifications/gcse/mathematics-j560-from-2015/planning-and-teaching/"">https://www.ocr.org.uk/qualifications/gcse/mathematics-j560-from-2015/planning-and-teaching/</a>
(link on right panel to Delivery guides)<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">Which correctly resolves to: <a href=""https://www.ocr.org.uk/qualifications/gcse-mathematics-j560-from-2015/delivery-guide/"">https://www.ocr.org.uk/qualifications/gcse-mathematics-j560-from-2015/delivery-guide/</a>
<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">When ‘www’ is not present the domain is appended to the URL
twice.<o:p></o:p></div>

<div class=""MsoNormal""><a href=""https://ocr.org.uk/qualifications/gcse/mathematics-j560-from-2015/planning-and-teaching/"">https://ocr.org.uk/qualifications/gcse/mathematics-j560-from-2015/planning-and-teaching/</a>
(link on right panel to Delivery guides)<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">Which routes to: <a href=""https://ocr.org.uk/https:/ocr.org.uk/qualifications/gcse-mathematics-j560-from-2015/delivery-guide/"">https://ocr.org.uk/https://ocr.org.uk/qualifications/gcse-mathematics-j560-from-2015/delivery-guide/</a>
<o:p></o:p></div>",,URL is hardcoded into a javascript file so we need to update the URL to the correct reference,Software Issue,"Amended the URL in the init.js file to include 'www'
Deployed to PROD through built in Tridion tool content porter so no change request required
Further changes can be seen in JIRA: https://btsservice.atlassian.net/browse/WEB-2164",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6771,Identified,EPS,EPS - Entries,4,CIE ,28/02/2019 14:09:26,,Issue printing SoE for CI,<p>Please refer ro SR199506</p><p>Prisma was not able to reprocess the SoE file generated on 22nd Feb under 12024704 </p><p>File Size more than 500 MB</p><p>Lines in file = 23 million</p>,Manually splitted the file in smaller chuncks,The print systems cannot process a file of such a large size.,Capacity issue,Either split the file into smaller files or change the print systems to be able to print larger files.,
"Created Problem Records for Selected Services, Total 1865",6775,Closed,IELTS Services,IWAS,3,Cambridge English ,02/03/2019 16:02:11,11/06/2019 14:02:00,Photo taken date is null for SELT candidates in IWAS backend. ,"<div class=""MsoNormal"" style=""text-align:justify""><span lang=""EN-US"" style=""font-size:11.0pt"">30 candidates found in IWAS backend (24 Life Skills
candidates &amp; 6 IELTS candidates) where photo taken date is null. These
candidates are not present in UKVI backend as photo taken date is null in IWAS.
PFA the list of candidates (Photo_Null_SELT.xls).<b style=""mso-bidi-font-weight:
normal""><o:p></o:p></b></span></div>

<div class=""MsoNormal"" style=""text-align:justify""><span lang=""EN-US"" style=""font-size:11.0pt""><o:p>&nbsp;</o:p></span></div>",We need to update photo taken date with test date and re-push the candidate to IBASE from IWAS.,"The allowed filename format is <candidate identity no>_<test date YYYYMMDD>_<centre id>_<photo taken time stamp in YYYYMMDD_HHMMSS>_<Test  Day i.e. 1 or 2>. 
The issue is caused by a wrong format on the timestamp wherein the stated hour is greater than 24 hours.
 i.e.   P9089244_20190110_IN001_20190110_342293_1
 
When user clicked on the finish button before completion image uploading process; image appeared in the UI without date because of the 2 mentioned cause: wrong timestamp, and user clicking the finish button ahead of completion process.
",Software Issue,"Raised as IELTS-10975, added to the backlog.",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6776,Closed,Hardware,SAN,5,CSD ,04/03/2019 10:22:36,28/10/2019 11:51:00,ucv701prd failed battery,"This SAN supports EPS - IBM have warned of potential data loss if we were to proceed with the battery replacement so we're keen to schedule the replacement of this during the next major EPS maintenance outage so data flows etc. are already stopped.&nbsp;<div>- Each PSU in a control enclosure contains a battery that kicks in during a temporary / short term power outage. Hence without the battery we have lost part of the resilience of that controller.&nbsp;</div><div>- The IBM manual which is attached states that though the power supplies are hot swap-able, if the system is performing I/O operations swapping or removing the PSU can result in loss of access to data.</div><div><b>As this is the first of such an incident and because of the above we will require an IBM engineer to replace the battery and preferably at a time that is not service impacting.</b></div>",,"A battery has passed the end of its useful life, so needs replacing.",Hardware Failure,Battery replaced under RFC 37850,Request for Change
"Created Problem Records for Selected Services, Total 1865",6777,Closed,Connect Plus,Connect Plus RM,2,Cambridge English ,04/03/2019 11:00:03,01/08/2019 14:08:00,Connect+ CW Indexing Error - AU240 P2 Incident 652224,Prolonged outage due to an indexing error affecting all CWs at IDP AU240.&nbsp; RM to aprovide RCAR and a preventative software fix to roll out to all CWs.<br><br>,,RM defect# 135306 raised to resolve 'index out of range error'.,Software Issue,Fixed deployed on 28th May as part of VC10.4 release (RFC# 34995),Vendor Fix
"Created Problem Records for Selected Services, Total 1865",6778,Closed,ESM,ESM - Other,5,CIE ,04/03/2019 13:56:52,23/10/2019 10:17:00,Issue with ESM,"I have identified an issue with ESM. The issue relates to October 2018 series. I use ESM to pull scripts from RM Assessor and have successfully pulled scripts from November 2018 but am unable to access the scripts from October 2018. The syllabus and component I require are available in the drop downs however the system is unable to find any of the candidates I request, even though they are visible in RM Assessor. This means I cannot access the scripts in the format I require.",,ESM is trying to connect to EPS during scheduled downtime window and hence errors out,Known/standard error,"Fixes to resolve this successfully tested and released as part of the RM/ESM 5.3 release

Deployed under RFC 34734",Request for Change
"Created Problem Records for Selected Services, Total 1865",6784,Closed,Print and Distribution Services,AMS (Article Management System),5,Cambridge English CIE CSD OCR,04/03/2019 16:29:01,11/03/2019 10:53:00,URGENT! Article numbers generated in AMS not showing up on SCALE.,"I do print ordering. On Friday, the Modified Team generated article numbers for a batch of papers and gave them to me for ordering, but they have not shown up on SCALE yet!&nbsp;&nbsp;Unfortunately, I can't process any papers until I can check their article numbers and descriptions on SCALE.<br><br><br><br>Do you know whether there is a delay between AMS and SCALE causing this situation?<br><br><br><br>I have been in touch with Martha Frankland, Technical Operations Analyst, GPAO, who says they have not received files from AMS since Thursday, 24th, Jan.<br><br><br><br>Andy Roberts, Logistics Manager at DC-10,&nbsp;&nbsp;has suggested I raise a BTS ticket on this one as obviously something [is]wrong in the transfer.<br><br><br><br>Could you please sort this out ASAP.<br><br><br><br>The below are examples of some of the ones not showing up on SCALE:<br><br><br>Article Number 2018<br><br>Month (EPS)<br><br>Syll<br><br>Comp<br><br>0182735805<br><br>06<br><br>3180<br><br>01<br><br>5432522057<br><br>06<br><br>0486<br><br>32<br><br>9388481825<br><br>06<br><br>0470<br><br>12<br><br>5721975520<br><br>06<br><br>0620<br><br>42<br><br>7239034958<br><br>06<br><br>0610<br><br>62<br><br>4307511251<br><br>06<br><br>0620<br><br>32<br><br>2684633808<br><br>06<br><br>9609<br><br>12<br><br>3342980731<br><br>06<br><br>9709<br><br>12<br><br>0982066106<br><br>06<br><br>0607<br><br>22<br><br>6377299149<br><br>06<br><br>0654<br><br>32<br><br>4650635811<br><br>06<br><br>0408<br><br>32<br><br>1922399905<br><br>06<br><br>0520<br><br>11<br><br><br><br><br>Regards,<br><br>Martha Shedd<br>Results &amp; Despatches Administrator, Operations<br><br>Cambridge Assessment International Education<br>The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA, United Kingdom<br>Telephone: +44 (0) 1223 558864<br><br>Email: martha.shedd@cambridgeinternational.org<mailto:martha.shedd@cambridgeinternational.org><br>www.cambridgeinternational.org<http: www.cambridgeinternational.org=""""><br><br>Cambridge Assessment International Education prepares school students for life, helping them develop an informed curiosity and a lasting passion for learning. We are part of the University of Cambridge.</http:></mailto:martha.shedd@cambridgeinternational.org>",A change has been made to a SAP process job to prevent the duplicate scenario from recurring,Duplicate Articles (already in SCALE) received from SAP were blocking the send process to SCALE,Process Failure,"Change AMS so that duplicate articles sent from SAP are ignored
Raised in JIRA: https://btsservice.atlassian.net/browse/AMS-2",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6789,Closed,Integration and API,SnAPI,5,CSD ,05/03/2019 11:05:55,25/03/2019 16:25:00,Success Factor to SnAPI synchronisation failed,The SF-SNAPI Ingest synchronisation failed because of the low memory issue within one of the SnAPI production server SPSRFAP008.,,The employee data was getting transformed in-memory and failing in server 008 because the server memory didn't have that much free memory available.,Capacity issue,Windows Service has been deployed to production under RFC 33961,Request for Change
"Created Problem Records for Selected Services, Total 1865",6793,Closed,Connect Plus,Connect Plus RM,5,Cambridge English CSD ,05/03/2019 13:02:15,27/06/2019 08:32:00,Poor performance due to high number of connections to C+ Central System,"<br>Incident# 653224 - IDP have reported that many of their centres get a connection error when trying to access Connect + <br><br>RM Ref: 6253847<br>CE Refs: 865417, 865182, 865439<br><br>",Re-install software on Candidate Workstation,"Index out of range error detected.

RM PIR attached.",Third Party/External issue,"Defect fix to be applied in release VC10 to enable code to cope with an empty folder on the Candidate Workstation.
 
Fix under C+ release VC10.4 deployed on 28th May 2019 (RFC 34995).",Vendor Fix
"Created Problem Records for Selected Services, Total 1865",6794,Closed,Operational Data Store,ODS,5,CIE ,05/03/2019 14:07:52,14/03/2019 12:59:00,SAS ISPWarehouse_Report library - LatestItemMarks_Last12Months Issue,<div>The LatestItemMarks_Last12Months table/view in the&nbsp;ISPWarehouse_Report SAS library is not pulling through all candidates. </div><div><br></div><div>I've attached a list of candidates that are not appearing for the November 2018 series (SessionID= 14364) for syllabus&nbsp;8807 component 01 that I believe should be there (I cannot think of a reason why they would not be in the table). There is a chance that the issue persists for other syllabuses/components/series.</div><div><br></div><div>I have checked the number of candidates against the autocall macros and the numbers within the ILD reports that are produced by the ARD team and there are 239 candidates that are not in the LatestItemMarks_Last12Months&nbsp;table.</div><div><br></div><div>I have also contacted the ARD team and they cannot see anything obvious that is causing the problem.</div><div><br></div><div><br></div>,n/a,"This is a change to current business defined conditions, so will be handled as a change request",Requirements Issue,"Logged in JIRA as https://btsservice.atlassian.net/browse/DA-1146
",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6795,Closed,Connect Plus,Connect Plus Test Player,5,Cambridge English ,05/03/2019 15:23:31,20/11/2019 03:38:00,Candidate responses not being posted by the test player,"<div style="""">We have had some examples where the test player apparently has not posted the candidates response to the test player.</div><div style="""">Looking at the candidate response history report there is no evidence of the response being posted.</div><div style="""">In one case the answers entered by the candidate were overlapping and poorly rendered.</div><div style="""">In another when the candidate went back to review their responses they had disappeared&nbsp;</div>",,Test Player changes required but due to IELTS blocking changes going forward we are closing this but will be leaving on the Jira Backlog ,Unidentified cause,Test Player changes required but due to IELTS blocking changes going forward we are closing this but will be leaving on the Jira Backlog EVT-1253,Backlog Item
"Created Problem Records for Selected Services, Total 1865",6797,Closed,Tridion,CI Public Site,5,CIE ,07/03/2019 07:42:58,14/03/2019 12:58:00,Issue with Afganistan on Samples database in the country dropdown,"<div class=""MsoNormal"">There is an issue with the country drop down on the Samples
database. I am sure there is a simple fix for this, but everything I have tried
so far hasn’t worked.<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">For some reason, Afghanistan is showing in amongst other
countries beginning with the letter P. You can see this on the screenshot below
or at <a href=""https://stgprd-cie.ucles.internal/exam-administration/cambridge-exams-officers-guide/phase-3-teacher-assessment/samples-database/"">https://stgprd-cie.ucles.internal/exam-administration/cambridge-exams-officers-guide/phase-3-teacher-assessment/samples-database/</a>
or <a href=""https://www.cambridgeinternational.org/exam-administration/cambridge-exams-officers-guide/phase-3-teacher-assessment/samples-database/"">https://www.cambridgeinternational.org/exam-administration/cambridge-exams-officers-guide/phase-3-teacher-assessment/samples-database/</a>.
<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">I have republished the ‘Geography’ keyword a few times, but
this has not updated the list.<o:p></o:p></div>

<div class=""MsoNormal""><o:p>&nbsp;</o:p></div>

<div class=""MsoNormal"">Please could you take a look.<o:p></o:p></div>",Need .NET code Fix,Order problem was identified as a code issue,Software Issue,.NET code Fix deployed via RFC 33940 (JIRA WEB-1885),Request for Change
"Created Problem Records for Selected Services, Total 1865",6799,Closed,CE Exam Processing,Metrica - MLA,5,Cambridge English ,07/03/2019 09:06:05,25/03/2019 17:14:00,Cloning a multi-item task type removes value from the Difficulty Weighting field on the Edit an item,"<p>Cloning a multi-item task type removes value from the Difficulty Weighting field on the Edit an item screen, and sets task difficulty to a default value. </p><p><br></p><p>Identified in UAT but will be present in Live. Metrica backlog item MET-8549 has been raised. </p>",,Code changes required linked to existing Metrica backlog item MET-8549.,Software Issue,"Appropriate prioritisation by Metrica team, backlog reference MET-8549",Backlog Item
"Created Problem Records for Selected Services, Total 1865",6801,Closed,OCR Pre-Exam Services,Coursebooker,5,OCR,07/03/2019 11:25:45,08/07/2019 08:29:00,OCR EventBooker (cpdhub.ocrorg.uk) ,"Site was unavailable at 20:00 on Wednesday, 6th March.&nbsp;<div><br></div><div>After attempts to recycle the app pool on SPOCRIS001, do an iisreset, reboot the server and re-propogate the DNS, the service failed to return. Issue was resolved by changing the health monitor to 'https' on the load balancer. We're not sure what had happened prior to the alert the caused the outage&nbsp;</div>","Checking the Load Balancer, the heath monitor ""www.cpdhub.ocr.org.uk_https"" was marking the node as down. Since website is working when connecting directly the server; I removed the Health Monitor and replaced it to a simple ""Https"" which brough the Pool and VIP up.
The issue was not any config on the load balancer, rather the contents of the health monitor send string states “GET / HTTP/1.1\r\nHost: www.cpdhub.ocr.org.uk\r\nConnection: close\r\n\r\n\r\n”. For some reason the server is not responding to that string. ",Root Cause could not identify anything ,Unidentified cause,Root Cause could not identify anything and it’s in the process of being replaced by EventsAir so will be decom’d Dec 2019,None
"Created Problem Records for Selected Services, Total 1865",6802,Closed,EPS,EPS - Customer,5,OCR,07/03/2019 12:39:10,05/12/2019 15:49:00,EPS - OCR customers,"<div><br></div><font face=""none""><div>When an NCN centre is created with an ID that is already assigned to another non-NCN centre (agent centres for eg), the Description field on the ""New Customer"" panel of ""review"" NCN form FNCUS016, gets populated with the agent centre's description i.e. </div><font color=""#000080"" size=""2""><font color=""#000080"" size=""2""><div>ORG_DETAILS.CENTRE_DESCR column</div><div>This will need a change to populate as per NCN details</div><div><br></div><div>Please note that had the centre ID been chosen such that it doesn't match with an Agent Centre's id, we would not see this issue</div><div><br></div><div>I am not sure but this could be a process issue. I am raising this PR to keep a record </div></font></font></font>",Information shared with user and they have corrected this manually,The root cause is identified in the description of the change. If a new centre is allocated the id of an existing centre it is reasonable that the customer description field displays the details of the existing centre.,Requirements Issue,"Jira backlog item OEPS-355 created.

If OCR identifies that this is not a process error a change request will be needed for IA and design of the solutuion.",Backlog Item
