,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
12969,785745,989086,5500,5500,5500, 36 months,13.49%,186.62,C,C2,"Mindel Management, Inc.",3 years,RENT,57000,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/17/11 > This loan is for debt consolidation and a much needed vacation, it has been years.  I find the ease of use and the quick payback time (3 years) very reassuring.  There is something about knowing that you will be paying off something forever.  Lending Club is just what I need.<br/>",debt_consolidation,Debt Consilidation & Vacation,200xx,DC,10.56,0,Apr-00,0,,97,7,1,14831,63.70%,15,f,0,0,4105.29,4105.29,3078.18,1005.02,0,22.09,0,13-May,186.62,16-May,INDIVIDUAL,1,0-10 years
12976,788234,991894,4200,4200,4200, 60 months,18.39%,107.55,E,E2,ap management,< 1 year,RENT,24996,Not Verified,6/1/2011,Charged Off,n,  Borrower added on 06/16/11 > Move in money<br/>,major_purchase,Deposit,331xx,FL,17.81,0,May-00,0,28,,4,0,437,61.70%,15,f,0,0,5193.8,5193.8,2853.97,2092.4,0,247.43,44.5374,15-May,107.55,15-Dec,INDIVIDUAL,0,0 years
12984,788842,992634,10000,10000,10000, 36 months,18.39%,363.49,E,E2,CVS Pharmacy,9 years,RENT,22000,Not Verified,6/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,334xx,FL,2.18,1,1-Mar,3,22,,3,0,1107,79.10%,10,f,0,0,1816.61,1816.61,421.85,482.35,18.06237769,894.35,223.1976,11-Dec,200,12-Feb,INDIVIDUAL,0,0-10 years
12985,788890,975813,20000,20000,19888.93819, 60 months,16.89%,495.87,D,D4,BNP Paribas,10+ years,MORTGAGE,225000,Not Verified,6/1/2011,Charged Off,n,  Borrower added on 06/02/11 > PAY OFF CREDIT CARDS<br/>Borrower added on 06/02/11 > PAY OFF CREDIT CARDS<br/>,other,pay off high interest credt cards,945xx,CA,10.99,0,Oct-88,2,37,,15,0,15811,57.40%,32,f,0,0,22669.94,22435.72,12518.42,8746.64,0,1404.88,252.8784,15-Feb,495.87,15-Jul,INDIVIDUAL,0,10+ years
12987,788815,992603,15000,15000,15000, 36 months,9.99%,483.94,B,B1,Gretna Police Dept.,4 years,RENT,65000,Not Verified,6/1/2011,Charged Off,n,,credit_card,Credit Card Debt,700xx,LA,18.09,0,Jul-95,0,,,11,0,18121,43.20%,24,f,0,0,11943.47,11943.47,9445.05,2168.57,0,329.85,3.2985,13-Jul,484.18,13-Dec,INDIVIDUAL,0,0-10 years
12991,788563,992306,14500,14500,14475, 60 months,16.49%,356.4,D,D3,Costilla County Clerk,10+ years,RENT,30000,Verified,6/1/2011,Current,n,  Borrower added on 06/16/11 > It is a debt consoladation loan.<br/>,debt_consolidation,debt loan,811xx,CO,20.2,0,3-Jan,2,28,,9,0,2597,55.30%,20,f,719.49,718.21,20632.14,20596.64,13780.51,6851.63,0,0,0,16-May,356.4,16-May,INDIVIDUAL,0,10+ years
12997,788667,992423,13000,13000,12975, 60 months,12.99%,295.73,C,C1,central state hospital,5 years,RENT,60000,Not Verified,6/1/2011,Current,n,,debt_consolidation,debt consolidatio,238xx,VA,9.82,0,7-Apr,0,,,13,0,6988,29.60%,17,f,611.76,610.48,17103.36,17070.64,12388.24,4715.12,0,0,0,16-May,295.73,16-May,INDIVIDUAL,0,0-10 years
12998,788621,992366,8500,8500,8500, 60 months,12.99%,193.36,C,C1,,n/a,MORTGAGE,55000,Verified,6/1/2011,Current,n,,debt_consolidation,dept consolidation,328xx,FL,17.17,1,Mar-99,0,22,,12,0,4348,26.20%,38,f,400.12,400.12,11178.63,11178.63,8099.88,3078.75,0,0,0,16-May,193.36,16-May,INDIVIDUAL,0,n/a
13005,784401,987611,12000,12000,12000, 60 months,17.49%,301.41,D,D5,DaVita,10+ years,MORTGAGE,80000,Source Verified,6/1/2011,Charged Off,n,  Borrower added on 06/17/11 > Bill <br/>Consolidation<br/>Loan<br/> Borrower added on 06/21/11 > mortgage- $1200<br/>monthly utilities- 500<br/>gass and food-300<br/>,debt_consolidation,Debt Consolidation Loan,173xx,PA,5.22,0,Oct-00,1,,,19,0,8029,26.60%,34,f,0,0,10885.66,10885.66,5282.08,4664.45,0,939.13,9.391299995,14-May,61.34,14-Aug,INDIVIDUAL,0,10+ years
13007,788495,992223,25000,17300,17275, 60 months,15.23%,413.66,C,C5,Southold town Highway Dept.,10+ years,MORTGAGE,66000,Verified,6/1/2011,Current,n,,home_improvement,home improvements,119xx,NY,10.53,2,Jun-92,1,11,,6,0,2895,11.40%,21,f,833.36,832.05,23954.15,23919.72,16466.64,7487.51,0,0,0,16-May,413.66,16-Apr,INDIVIDUAL,0,10+ years
13009,780491,983279,23275,17500,17475, 60 months,17.99%,444.29,E,E1,,n/a,MORTGAGE,82000,Verified,6/1/2011,Charged Off,n,,vacation,Vacation Loan,334xx,FL,24.82,0,Feb-68,0,67,,10,0,28018,65.60%,21,f,0,0,17327.31,17302.66,9532.39,7767.64,0,27.28,0,14-Oct,444.29,14-Oct,INDIVIDUAL,0,n/a
13013,786538,989936,15000,15000,15000, 60 months,16.49%,368.69,D,D3,O'Neil Law Firm,9 years,MORTGAGE,48000,Not Verified,6/1/2011,Current,n,,debt_consolidation,Loan to Pay of Credit Cards,297xx,SC,20.43,0,Oct-98,1,40,,13,0,19961,57.90%,21,f,740.33,740.33,21350.85,21350.85,14259.67,7091.18,0,0,0,16-May,368.69,16-May,INDIVIDUAL,0,0-10 years
13014,788458,992162,35000,23275,23250, 60 months,20.25%,619.89,F,F1,NYC Health and Hospital Corporation,2 years,RENT,88000,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/16/11 > Loan consolidation-pay off car loan and personal loan<br/> Borrower added on 06/17/11 > I plan using this debt consolidation loan to pay off my<br/>unsecured debt and invest the difference.<br/> Borrower added on 06/17/11 > I answered 2 questions by an investor<br/> Borrower added on 06/20/11 > I work full-time in a stable career position. My credit history reflects that I have paid off all past loans to a 0 balance and pay my bills on time.<br/> Borrower added on 06/22/11 > I have job security and want to improve my financial profile so I want to consolidate my bills.<br/> Borrower added on 06/28/11 > I am a professional with a secure career position who wants to pay off<br/>my bills so that I can become an investor.<br/> Borrower added on 06/29/11 > I am a responsible person who has improved my credit through credit monitoring, making my payments on time and paying off my loans.<br/>",debt_consolidation,Debt Consolidation Loan,113xx,NY,11.71,0,4-Mar,0,49,,8,0,11554,62.60%,16,f,0,0,14806.44,14790.71,4044.86,6814.91,30.89001719,3915.78,689.1786,13-Dec,470.24,13-Dec,INDIVIDUAL,0,0-10 years
13016,788376,992058,10050,10050,10050, 60 months,16.89%,249.18,D,D4,United Sates Army,7 years,RENT,25000,Source Verified,6/1/2011,Charged Off,n,,small_business,Small Business Loan,313xx,GA,16.03,3,4-Jun,0,5,,7,0,1118,18.90%,14,f,0,0,4270.55,4270.55,1646.99,1826.27,0,797.29,61.21,12-Sep,249.18,13-Feb,INDIVIDUAL,0,0-10 years
13027,788322,992001,9000,9000,9000, 36 months,11.49%,296.75,B,B4,Atlanta Public Schools,6 years,MORTGAGE,141000,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/16/11 > I have been employed in the same job for six years and have signed a contract for another year of service. I have spent 6,000 of my personal funds to cover wedding expenses, but I underestimated some of the costs when planning. I  want to pay all vendors their balances without raiding my retirement funds.<br/>",wedding,Wedding Loan,302xx,GA,13.4,0,Dec-90,0,30,,13,0,4840,55%,43,f,0,0,4205.74,4205.74,2890.04,953.93,0,361.77,3.59,12-Aug,296.75,12-Dec,INDIVIDUAL,0,0-10 years
13034,787285,990809,15550,15550,15550, 60 months,13.99%,361.75,C,C3,Weis Markets,10+ years,RENT,48000,Not Verified,6/1/2011,Current,n,  Borrower added on 06/17/11 > Debt Consolidation<br/> Borrower added on 06/17/11 > I am employed Full Time.  I have a stable job and have been employed with the same company for over 20 yeas.  I wll use this money to pay off credit cards and get myself out of debt in five years.<br/>,debt_consolidation,Lending Club,180xx,PA,23.52,0,Dec-90,3,,,12,0,24775,55.50%,29,f,718.03,718.03,20968.48,20968.48,14831.97,6136.51,0,0,0,16-May,361.75,16-May,INDIVIDUAL,0,10+ years
13043,788122,991757,22400,22400,22375, 60 months,12.99%,509.56,C,C1,"Hale Aircraft,inc",10+ years,MORTGAGE,60000,Verified,6/1/2011,Current,n,  Borrower added on 06/17/11 > A consolidation loan would lower my monthly payments by about $300<br/>,debt_consolidation,Consolidation,302xx,GA,14.54,0,Mar-94,2,,,8,0,8836,27.40%,23,f,1062.69,1061.41,29456.55,29423.83,21337.31,8119.24,0,0,0,16-May,509.56,16-May,INDIVIDUAL,0,10+ years
13044,788117,991750,12000,12000,11975, 60 months,9.99%,254.91,B,B1,Edward Jones Investments,< 1 year,RENT,35000,Verified,6/1/2011,Current,n,"  Borrower added on 06/17/11 > THANK YOU to all of you who are funding my second loan with Lending Club; I cannot be grateful enough for your generosity and support.  I am blessed to have been approved of this second loan which I will be using to pay off my first loan with Lending Club, and use the remaining amount for moving expenses and set aside an emergency fund.  I have just started a new full time job after months of being under employed, and I am looking to find a place of my own after years of sharing an apartment with a roommate.  It's a new beginning for me and it's a fresh start.  Hence, the title/name for this loan: NEW BEGINNING.  I take pride in my commitment to live a simple life and be responsible and sensible in making right decisions and good choices.  Because of this, I am able to maintain a very good standing in credit and in my expenses.  I truly appreciate all of you who are willing to help someone like me who's going through life's challenges and surprises while living it fully.  Once again, THANK YOU!<br/> Borrower added on 06/23/11 > Once again, thank you so much to all of you.  It has been such a blessing that there are people like you who are willingness to extend themselves to help.  As mentioned in my previous description, this second loan will be used wisely: to pay off first my first loan, to be able to afford moving expenses, and to set aside an emergency fund.  My new full time job at a financial firm has also given me insights on how to invest money wisely and I would love to help others as well.<br/>",moving,New Beginning,070xx,NJ,11.86,0,3-Mar,0,,,12,0,1232,3.50%,19,f,513.46,512.38,14769.9,14739.13,11486.54,3283.36,0,0,0,16-May,254.91,16-May,INDIVIDUAL,0,0 years
13048,787951,991573,35000,23625,23600, 60 months,18.79%,610.12,E,E3,U.S. Department of Energy,10+ years,MORTGAGE,157124,Verified,6/1/2011,Charged Off,n,,home_improvement,Home Improvement ,207xx,MD,3.19,2,May-85,0,16,,9,0,12501,66.90%,30,f,0,0,18136.63,18117.56,7624.21,8216.03,0,2296.39,30.6537,13-Sep,610.12,14-Feb,INDIVIDUAL,0,10+ years
13058,787860,991463,2800,2800,2800, 36 months,14.79%,96.78,C,C4,,n/a,OWN,17760,Not Verified,6/1/2011,Charged Off,n,  Borrower added on 06/15/11 > I AM BUYING A GULF KART<br/>,major_purchase,GULF KART LOAN,342xx,FL,18.04,0,6-Aug,1,,103,8,1,7515,75.90%,10,f,0,0,2121.68,2121.68,1557.2,564.48,0,0,0,13-May,96.78,16-Apr,INDIVIDUAL,1,n/a
13062,787712,991294,25000,19625,19625, 60 months,20.62%,526.74,F,F2,Wal-Mart,8 years,RENT,72000,Verified,6/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation,447xx,OH,22.83,0,2-Aug,2,,,13,0,18042,60.50%,31,f,0,0,19008.76,19008.76,5010.92,6775.42,0,7222.42,1300.9534,13-Nov,210.12,16-Apr,INDIVIDUAL,0,0-10 years
13074,785079,988346,18000,16400,16400, 60 months,18.39%,419.94,E,E2,Walgreens,4 years,RENT,48000,Source Verified,6/1/2011,Current,n,"  Borrower added on 06/16/11 > I have been at my current job for more than 4 years and my company is growing. My previous employment was 20 years. I have no car payments, no outstanding loans, and have a small housing payment. This monthly payment will be 12% of my consistent monthly income.<br/>",small_business,IPL,601xx,IL,9.3,0,Mar-93,0,37,,9,0,11582,25.80%,35,f,821.85,821.85,24354.66,24354.66,15578.15,8776.51,0,0,0,16-May,419.94,16-May,INDIVIDUAL,0,0-10 years
13075,787553,991106,15000,15000,15000, 60 months,13.49%,345.08,C,C2,barnstable police dept,10+ years,RENT,90000,Source Verified,6/1/2011,Current,n,  Borrower added on 06/15/11 > debit consolidation<br/>,debt_consolidation,Debt Consolidation Loan,026xx,MA,13.68,0,Feb-88,2,39,,12,0,3063,12.80%,34,f,698.98,698.98,19978.95,19978.95,14301.02,5677.93,0,0,0,16-May,345.08,16-Apr,INDIVIDUAL,0,10+ years
13088,787327,990853,16000,16000,15950, 60 months,16.89%,396.7,D,D4,Sears Holdings,10+ years,MORTGAGE,51000,Verified,6/1/2011,Current,n,  Borrower added on 06/17/11 > Loan is for dental expenses and to consolidate atuo loan.<br/>,medical,Medical Loan,806xx,CO,13.67,0,Jul-00,2,73,,6,0,6341,53.30%,12,f,823.83,821.08,22918.04,22846.75,15176.17,7741.87,0,0,0,16-May,396.7,16-May,INDIVIDUAL,0,10+ years
13089,787342,990866,13000,13000,13000, 60 months,10.99%,282.59,B,B3,,n/a,OWN,25848,Verified,6/1/2011,Current,n,,major_purchase,major purchase,191xx,PA,18.15,0,Jul-64,1,,,16,0,6851,5.90%,27,f,574.17,574.17,16364.8,16364.8,12425.83,3938.97,0,0,0,16-May,282.59,16-May,INDIVIDUAL,0,n/a
13095,787212,990723,12000,12000,11975, 60 months,10.99%,260.85,B,B3,,< 1 year,MORTGAGE,41000,Verified,6/1/2011,Current,n,"  Borrower added on 06/15/11 > Home Improvements may include:<br/><br/>Re-Siding detached garage with Vinyl Siding<br/><br/>repairing driveway ( removal of tree roots pushing up asphalt )<br/><br/>new kitchen floor<br/><br/>miscellaneous minor upgrades ( light fixtures, painting, etc... )<br/><br/>I take pride in my home, and my credit score, I have never failed to pay a bill, and I have never even been late with a payment, and I am not going to start now... My credit history and score speaks for itself.<br/><br/>I have already done a significant amount of work to my home including a complete remodel of first floor bathroom, professional refinishing of original hardwood floors throughout the house, updating of exterior landscaping, several new windows installed. <br/><br/>Thank you for your support, and helping me build equity in my home<br/>",home_improvement,"Home Improvements, plain and simple",146xx,NY,4.04,0,2-Sep,0,,,10,0,6935,14%,14,f,530.45,529.31,15105.43,15074.02,11469.55,3635.88,0,0,0,16-May,260.85,16-May,INDIVIDUAL,0,0 years
13099,787280,990803,12000,12000,12000, 60 months,13.49%,276.06,C,C2,Gordon Properties,7 years,RENT,26400,Not Verified,6/1/2011,Charged Off,n,  Borrower added on 06/15/11 > I would just like to put all my debt into one place so that they are easier to manage and with a loan vs credit cards-it is sure to be paid off quicker.<br/>,credit_card,Peace,934xx,CA,17.18,0,1-Feb,1,,,11,0,17099,64.80%,21,f,0,0,3035.24,3035.24,1636.8,1388.31,0,10.13,0,12-Jun,276.06,16-May,INDIVIDUAL,0,0-10 years
13100,787262,990783,25975,17000,16950, 60 months,13.49%,391.08,C,C2,University of West Florida,10+ years,MORTGAGE,112000,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/15/11 > Need bridge loan until I can access my 403b in June 2012.<br/> Borrower added on 06/24/11 > My house sold for less than mortgage due to the current market and this loan will fund the deficit of that transaction.<br/>I did not want to damage my credit through a short sale or a deed in lieu of so I am satisfied to take the loss and pay the difference in order to keep my credit in good standing for the future.<br/>My monthly obligations for housing will go from  $3500 per month to  $1200 per month as a result of this sale leaving me ample room to pay off the difference.<br/>I have been employed by the same entity for the past ten years and plan to be there another 5 years until I retire.<br/>The terms of this loan would allow me to pay off my debt to coincide with my retirement goal.<br/>As a safety net, I also have sufficient funds in my 403b retirement account to cover the balance of this loan that I can access in June 2012 if need be although my goal is to pay off this loan without the 403b assist.<br/>Thanks so much for your consideration.<br/>",moving,Selling House Moving Loan,365xx,AL,18.43,0,Aug-96,1,,,18,0,11085,12.90%,43,f,0,0,2341.38,2334.48,1231.38,1110,0,0,0,12-Jan,391.08,16-Apr,INDIVIDUAL,0,10+ years
13105,787226,990741,3000,3000,3000, 36 months,11.99%,99.63,B,B5,pa department of corrections,10+ years,MORTGAGE,66000,Not Verified,6/1/2011,Charged Off,n,,debt_consolidation,debt consolidation,187xx,PA,14.27,0,Dec-97,2,75,103,10,1,16350,72.30%,30,f,0,0,543.99,543.99,226.12,148.88,15,153.99,27.7182,11-Nov,156,12-Mar,INDIVIDUAL,1,10+ years
13112,787098,990602,12000,12000,12000, 60 months,16.49%,294.96,D,D3,Banner Life,3 years,RENT,41750,Source Verified,6/1/2011,Current,n,"  Borrower added on 06/15/11 > I plan to use the funds by paying off my credit cards. What makes me a good borrower is that all of my bills are paid on time and never late. I have a solid monthly budget as my annual salary is $41,750.00. I work for Banner Life which is ranked top 8 in the country for life insurance, we offer solid products with a strong financial backing. The company has reached phenomenal financial goals within the last quarter and the company continues to grow financially.<br/>",credit_card,Peace of Mind,208xx,MD,20.29,0,Dec-98,0,,87,11,1,9062,89.70%,22,f,590.78,590.78,17082.57,17082.57,11409.22,5673.35,0,0,0,16-May,294.96,16-May,INDIVIDUAL,1,0-10 years
13116,787093,990597,8000,8000,8000, 36 months,13.49%,271.45,C,C2,Monster Worldwide,5 years,MORTGAGE,52000,Source Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/20/11 > With this loan I will be paying off high intrest credit cards, it would be very helpful to have 1 low payment instead of multiple high intrest payments that do not seem to be getting any lower.<br/>",debt_consolidation,Consolidation,014xx,MA,18.25,1,Aug-78,0,23,,12,0,14434,67.40%,28,f,0,0,8122.07,8122.07,6171.33,1699.42,0,251.32,2.5132,14-Jan,40.95,14-Apr,INDIVIDUAL,0,0-10 years
13118,787064,990564,15000,9625,9375, 60 months,11.49%,211.64,B,B4,Quality Gin Inc.,9 years,MORTGAGE,55000,Source Verified,6/1/2011,Current,n,,credit_card,Credit Card Consolidation,398xx,GA,8.09,0,May-97,0,,,4,0,11517,45.20%,15,f,455.99,445.03,12214.97,11896.36,9169.01,3045.96,0,0,0,16-May,211.64,16-May,INDIVIDUAL,0,0-10 years
13120,787056,990555,17600,17600,17550, 60 months,13.99%,409.43,C,C3,VERIZON WIRELESS,10+ years,MORTGAGE,95000,Verified,6/1/2011,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,072xx,NJ,8.07,0,Jun-95,3,,,11,0,3858,14.80%,17,f,0,0,22076.23,22013.52,15221.95,6854.28,0,0,0,16-Jan,409.43,16-May,INDIVIDUAL,0,10+ years
13121,787050,990549,20000,14200,14175, 60 months,18.39%,363.61,E,E2,Belcan Engineering Corp,8 years,MORTGAGE,73000,Verified,6/1/2011,Current,n,"  Borrower added on 06/15/11 > Seeking help to reduce interest costs on credit cards, and combile 2 other small loans into one monthly payment.<br/>",debt_consolidation,Debt Consolidation,334xx,FL,19.58,1,Feb-85,2,16,,9,0,9396,54.90%,15,f,711.73,710.48,21086.9,21049.78,13488.27,7598.63,0,0,0,16-May,363.61,16-May,INDIVIDUAL,0,0-10 years
13124,786991,990485,15000,15000,15000, 36 months,9.99%,483.94,B,B1,West Marine Inc.,2 years,RENT,100000,Not Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/14/11 > My first loan with LendingClub has worked out well, so I decided to use LendingClub to consolidate all other debt into a 36-month payoff.<br/>",debt_consolidation,36 months @ 12.82% APR,950xx,CA,9.13,0,Jun-00,0,,,7,0,8694,68.50%,12,f,0,0,6706.01,6706.01,4554.49,1551.51,0,600.01,6,12-Oct,101.19,13-Feb,INDIVIDUAL,0,0-10 years
13129,786973,990462,21000,16075,16075, 60 months,18.39%,411.62,E,E2,Beachmint Inc,< 1 year,MORTGAGE,120000,Verified,6/1/2011,Charged Off,n,,debt_consolidation,Consolidation Loan,904xx,CA,15.31,0,2-Mar,0,,,7,0,23377,90.30%,23,f,0,0,21215.11,21215.11,4750.02,5127.18,0,11337.91,0,13-Jul,411.62,16-May,INDIVIDUAL,0,0 years
13130,786940,990424,5000,5000,5000, 60 months,11.49%,109.94,B,B4,Nassau University Medical Center,6 years,OWN,43800,Source Verified,6/1/2011,Charged Off,n,  Borrower added on 06/14/11 > Jeep<br/> Borrower added on 06/14/11 > Jeep<br/> Borrower added on 06/16/11 > I'am trying to help my daughter out. She needs a running car to get to work. I'am a responsible person and will pay this loan quick as I can. I been working in the medical field for over 20 years and still going. I pay all my bills on time and all are in good standing.<br/>,car,Car Loan,113xx,NY,19.62,0,4-Jan,0,,,12,0,7537,42.80%,16,f,0,0,5716.88,5716.88,4134.88,1547.27,0,34.73,6.2514,15-Nov,109.94,16-Apr,INDIVIDUAL,0,0-10 years
13145,785219,988495,4500,4500,4500, 36 months,10.59%,146.46,B,B2,Alliance Audio Visual,1 year,MORTGAGE,42000,Source Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/14/11 > Buying a sole owner vehicle which has been well maintained not looking to get a new car loan at the moment.  Just something reliable and I have found the vehicle, thanks and have a wonderful day!<br/>",car,Mazda 3,871xx,NM,10.91,0,Jul-75,2,,,8,0,7417,81.50%,12,f,0,0,3186.13,3186.13,2445.51,623.22,0,117.4,1.31,13-Apr,146.46,13-Sep,INDIVIDUAL,0,0-10 years
13148,733727,930120,8000,8000,8000, 60 months,16.49%,196.64,D,D3,Edwards Lifesciences,5 years,OWN,84875,Source Verified,6/1/2011,Current,n,,debt_consolidation,Debt Consolidation,926xx,CA,11.71,0,Apr-99,1,,,5,0,29627,96.50%,9,f,399.26,399.26,11378.46,11378.46,7600.74,3777.72,0,0,0,16-May,196.64,16-May,INDIVIDUAL,0,0-10 years
13151,786626,990035,4000,4000,4000, 60 months,18.79%,103.31,E,E3,Performace Radiator,1 year,OWN,24000,Source Verified,6/1/2011,Current,n,  Borrower added on 06/15/11 > I will accept the current offer.<br/>,debt_consolidation,Debt Consolidation Loan,207xx,MD,5.55,0,8-Jan,0,,,4,0,4355,75.10%,4,f,208.12,208.12,5977.72,5977.72,3791.88,2185.84,0,0,0,16-May,103.31,16-May,INDIVIDUAL,0,0-10 years
13155,782786,985812,35000,21400,21400, 60 months,17.99%,543.31,E,E1,Esri,5 years,RENT,65000,Not Verified,6/1/2011,Current,n,"I'll be using these funds as part of my real estate business. I find undervalued properties, fix them, and sell for profit, aka 'flipping' as you've may have seen on cable tv. I've completed two successfully in my part-time outside of my full time office job. I really enjoy this new work, so much so, I'm looking to expand the business fulltime, with multiple houses at once, and this requires more cash.  I have excellent credit and I'm never been late on any payments, even $5 to my friends for cab fare. I've been at my current job at a large, growing, and stable company almost five years. Help me get out of the office grind! I love my new business and just need more cash to make this part time venture a full time career.  Thanks for your time!",small_business,Flip Funds 1,200xx,DC,7.11,0,Oct-95,2,43,,7,0,19042,51.60%,17,f,1073.38,1073.38,31489.97,31489.97,20326.63,11163.34,0,0,0,16-May,543.31,16-May,INDIVIDUAL,0,0-10 years
13167,786018,989377,35000,35000,34725, 36 months,13.49%,1187.57,C,C2,NJ Department of Corrections Southern St,10+ years,MORTGAGE,120000,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/18/11 > I have been at same secure job for almost 14 years.  I have v good credit and never missed or late with ANY payments! This loan will be used to pay off all my credit cards so will not increase my debt to income, it will help me eliminate my debt in 3 years. Thanks<br/>",credit_card,Credit Card Loan,083xx,NJ,16.34,0,Jan-91,0,,,8,0,44287,77.30%,29,f,0,0,36582.56,36294.67,28085.09,7540.52,0,956.95,9.569499987,14-Feb,100.94,14-Jun,INDIVIDUAL,0,10+ years
13171,786427,989818,12000,12000,12000, 60 months,16.49%,294.96,D,D3,route relievers/bimbo bakeries,4 years,RENT,55000,Not Verified,6/1/2011,Current,n,,small_business,business,852xx,AZ,23.83,1,May-00,0,12,,4,0,114,2%,32,f,588.92,588.92,17085.98,17085.98,11411.08,5674.9,0,0,0,16-May,294.96,16-May,INDIVIDUAL,0,0-10 years
13174,786376,989760,7000,7000,7000, 36 months,11.49%,230.8,B,B4,Clark County Schools District,10+ years,MORTGAGE,69600,Not Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/14/11 > loan approval very fast, thank you appreciate the great rate! Loan approval for small investment and to eliminate small debt.<br/> Borrower added on 06/14/11 > not has been supplied<br/> Borrower added on 06/14/11 > done<br/>",small_business,Income Fund,891xx,NV,8.09,0,Nov-97,0,,,8,0,1200,16.90%,24,f,0,0,230,230,163.21,66.79,0,0,0,11-Aug,230.8,16-May,INDIVIDUAL,0,10+ years
13182,781137,983966,24000,15575,15550, 60 months,13.49%,358.3,C,C2,Hamilton Sundstrand,9 years,MORTGAGE,68004,Verified,6/1/2011,Current,n,,home_improvement,Home Improvement,066xx,CT,18.74,0,Jul-98,0,28,,14,0,24941,31.40%,43,f,720.36,719.14,20755.36,20722.16,14854.64,5900.72,0,0,0,16-May,358.3,16-Apr,INDIVIDUAL,0,0-10 years
13209,785937,989289,9950,9950,9950, 36 months,12.99%,335.21,C,C1,DUBELL LUMBER CO.,7 years,RENT,30784,Source Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/14/11 > I have a steady job with a great company.   My bills are paid on time and promise this loan will be paid on time every month and until it is paid in full.<br/> Borrower added on 06/14/11 > This loan is to consolidate my credit cards bills into one monthly payment,  so they will be paid in full and no longer used.<br/>",debt_consolidation,OUT OF DEBT,082xx,NJ,24.32,0,Mar-00,0,52,,9,0,8647,88.20%,15,f,0,0,4419.19,4419.19,2893.29,1121.91,0,403.99,3.98,12-Jul,335.21,12-Nov,INDIVIDUAL,0,0-10 years
13211,785849,989194,15000,11800,11775, 60 months,12.99%,268.43,C,C1,Shaker road Child Care Center,7 years,RENT,42500,Not Verified,6/1/2011,Current,n,  Borrower added on 06/15/11 > I will be using the loan to consolidate debt.  I previously had a mortgage for 7 years and was never late in payment.<br/>,debt_consolidation,personal,033xx,NH,13.86,1,Oct-89,0,14,,7,0,5985,57.50%,23,f,554.04,552.76,15555.91,15523.12,11245.96,4280.08,29.8710309,0,0,16-May,268.43,15-Jan,INDIVIDUAL,0,0-10 years
13230,785765,989107,8050,8050,8050, 60 months,15.23%,192.49,C,C5,,2 years,MORTGAGE,36500,Verified,6/1/2011,Charged Off,n,"  Borrower added on 06/17/11 > Please note, per LC my TUCIC score is 711<br/> Borrower added on 06/21/11 > to those of you that have helped, THANKS!<br/>to those of you thinking...PLEASE<br/>I need $750/day for the next week! (6/21/11)  Thanks!<br/>",debt_consolidation,Final Wrap Up,631xx,MO,19.82,0,Feb-84,1,32,112,16,1,8653,42.10%,31,f,0,0,9203.37,9203.37,5570.42,3144.71,0,488.24,87.88320001,15-Mar,211.99,15-Jul,INDIVIDUAL,1,0-10 years
13246,785035,988301,24000,15825,15825, 60 months,15.99%,384.75,D,D2,insulators loca lunion #80,10+ years,MORTGAGE,87500,Verified,6/1/2011,Current,n,,debt_consolidation,bill consolidation,457xx,OH,22.52,1,Apr-87,0,15,,14,0,27860,50.70%,29,f,773.07,773.07,22280.86,22280.86,15051.92,7228.94,0,0,0,16-May,384.75,16-May,INDIVIDUAL,0,10+ years
